Team,Wins,Losses,Home_Wins,Home_Losses,Away_Wins,Away_Losses,ATS_WINS,ATS_Losses,ATS_Ties,ATS_Home_Wins,ATS_Home_Losses,ATS_Home_Ties,ATS_Away_Wins,ATS_Away_Losses,ATS_Away_Ties,OU_Wins,OU_Losses,OU_Ties,OU_Home_Wins,OU_Home_Losses,OU_Home_Ties,OU_Away_Wins,OU_Away_Losses,OU_Away_Ties
Hawaii,13,11,11,5,2,6,11,12,0,7,8,0,4,4,0,12,9,2,7,7,1,5,2,1
Old Dominion,11,14,7,7,4,4,11,12,0,7,7,0,4,5,0,7,15,1,3,10,1,4,5,0
Winthrop,17,9,14,1,3,8,11,12,0,5,7,0,6,5,0,14,9,0,9,3,0,5,6,0
Oakland,10,15,6,4,3,9,11,12,1,6,4,1,5,8,0,11,13,0,6,5,0,5,8,0
Colorado St,15,8,10,2,4,3,11,12,0,8,7,0,3,5,0,13,10,0,9,6,0,4,4,0
Nevada,13,10,9,4,2,5,11,12,0,9,7,0,2,5,0,10,13,0,7,9,0,3,4,0
S. Carolina,10,13,8,6,1,6,11,12,0,9,6,0,2,6,0,8,15,0,6,9,0,2,6,0
Mississippi St,17,6,8,3,5,2,11,12,0,7,9,0,4,3,0,12,11,0,9,7,0,3,4,0
Maryland,18,6,14,1,2,5,11,12,1,9,7,1,2,5,0,15,9,0,10,7,0,5,2,0
Northwestern,13,11,11,3,0,7,11,12,1,6,8,1,5,4,0,18,6,0,11,4,0,7,2,0
Rutgers,12,12,9,3,2,5,11,12,1,8,7,0,3,5,1,13,10,1,7,7,1,6,3,0
Michigan,18,5,11,0,5,2,11,12,0,6,5,0,5,7,0,13,10,0,7,4,0,6,6,0
Butler,11,13,8,6,1,6,11,12,1,5,10,0,6,2,1,14,10,0,7,8,0,7,2,0
Dayton,16,8,13,2,2,3,11,12,0,8,8,0,3,4,0,15,8,0,11,5,0,4,3,0
Merrimack,14,10,7,2,7,7,11,12,1,3,6,0,8,6,1,9,15,0,0,9,0,9,6,0
Morehead St,14,11,9,3,5,7,11,13,0,3,9,0,8,4,0,9,15,0,5,7,0,4,8,0
Memphis,20,4,10,2,7,1,11,13,0,4,8,0,7,5,0,13,11,0,8,4,0,5,7,0
Virginia,12,12,9,5,2,5,11,13,0,7,9,0,4,4,0,14,10,0,8,8,0,6,2,0
Navy,8,17,5,5,3,10,11,13,0,3,7,0,8,6,0,13,11,0,8,2,0,5,9,0
Colgate,10,15,7,3,3,10,11,13,0,4,6,0,7,7,0,12,12,0,4,6,0,8,6,0
Penn State,13,11,10,4,1,6,11,13,0,6,8,0,5,5,0,8,15,1,7,6,1,1,9,0
DePaul,11,13,10,6,1,7,11,13,0,9,7,0,2,6,0,14,10,0,9,7,0,5,3,0
Chicago St,4,21,3,5,1,14,11,14,0,3,6,0,8,8,0,13,12,0,5,4,0,8,8,0
Cornell,13,7,6,5,7,2,10,7,1,3,6,0,7,1,1,11,7,0,5,4,0,6,3,0
North Texas,17,6,12,1,4,4,10,9,2,6,6,1,4,3,1,10,10,1,8,5,0,2,5,1
E Tennessee St,15,10,11,3,4,7,10,10,3,6,4,2,4,6,1,9,14,0,6,6,0,3,8,0
South Dakota,15,10,11,1,4,9,10,10,2,5,3,1,5,7,1,18,4,0,9,0,0,9,4,0
UTSA,10,13,6,5,3,8,10,10,1,4,5,1,6,5,0,14,7,0,7,3,0,7,4,0
UT Grande Valley,13,11,9,3,2,8,10,10,0,3,5,0,7,5,0,10,9,1,4,4,0,6,5,1
Lamar,14,10,8,3,6,5,10,10,1,2,7,0,8,3,1,9,12,0,3,6,0,6,6,0
N. Arizona,14,11,9,3,5,7,10,11,0,4,4,0,6,7,0,15,6,0,5,3,0,10,3,0
Tulane,13,11,10,3,3,5,10,11,1,6,6,0,4,5,1,8,13,1,2,9,1,6,4,0
Southern U,15,8,8,0,7,8,10,11,0,2,4,0,8,7,0,10,11,0,4,2,0,6,9,0
Lipscomb,17,8,8,3,9,5,10,11,2,4,5,0,6,6,2,8,15,0,5,4,0,3,11,0
Loyola Marymount,14,10,10,4,2,6,10,11,2,6,6,2,4,5,0,10,12,1,8,5,1,2,7,0
Fordham,11,12,8,4,2,6,10,11,0,5,7,0,5,4,0,14,7,0,8,4,0,6,3,0
Southern Indiana,9,15,7,6,2,9,10,11,1,4,7,0,6,4,1,11,11,0,6,5,0,5,6,0
Utah Tech,6,17,5,4,0,12,10,11,0,6,2,0,4,9,0,9,12,0,3,5,0,6,7,0
Belmont,17,8,9,4,7,3,10,12,2,4,8,2,6,4,0,17,7,0,11,3,0,6,4,0
Tenn Tech,13,12,7,3,5,8,10,12,1,3,6,1,7,6,0,11,12,0,4,6,0,7,6,0
Kansas,16,7,11,2,3,5,10,12,1,6,7,1,4,5,0,6,17,0,4,10,0,2,7,0
Texas St,12,13,7,3,3,9,10,12,1,5,5,0,5,7,1,14,8,1,6,4,0,8,4,1
UT-Arlington,11,13,7,2,3,9,10,12,0,3,6,0,7,6,0,10,12,0,3,6,0,7,6,0
Southern Utah,10,14,7,5,2,9,10,12,0,4,7,0,6,5,0,8,14,0,5,6,0,3,8,0
UMKC,11,15,8,4,2,9,10,12,0,6,3,0,4,9,0,8,14,0,5,4,0,3,10,0
Loyola (MD),10,13,5,5,5,8,10,12,0,3,6,0,7,6,0,15,7,0,6,3,0,9,4,0
Longwood,16,9,11,2,4,5,10,12,0,5,5,0,5,7,0,14,8,0,5,5,0,9,3,0
Valparaiso,10,15,8,6,2,8,10,12,1,6,7,0,4,5,1,14,9,0,8,5,0,6,4,0
LSU,12,11,10,4,1,5,10,12,1,7,8,0,3,4,1,11,12,0,9,6,0,2,6,0
UMBC,11,14,6,7,5,7,10,12,0,3,7,0,7,5,0,15,6,1,6,3,1,9,3,0
Hofstra,12,13,5,6,4,6,10,12,1,3,7,0,7,5,1,9,13,1,5,5,0,4,8,1
E TA&M,3,21,3,7,0,14,10,12,2,3,6,1,7,6,1,12,12,0,5,5,0,7,7,0
USC,13,10,10,5,3,3,10,13,0,6,9,0,4,4,0,17,6,0,10,5,0,7,1,0
Austin Peay,10,15,6,4,3,10,10,13,0,4,5,0,6,8,0,10,13,0,4,5,0,6,8,0
Bradley,19,6,10,3,6,2,10,13,1,5,7,1,5,6,0,15,9,0,7,6,0,8,3,0
Coastal Car,8,17,5,5,2,12,10,13,0,3,6,0,7,7,0,11,12,0,4,5,0,7,7,0
UConn,16,7,10,2,5,2,10,13,0,6,8,0,4,5,0,12,11,0,6,8,0,6,3,0
Cal Poly,9,15,6,4,3,11,10,13,0,4,5,0,6,8,0,14,9,0,4,5,0,10,4,0
Charlotte,9,15,7,6,1,8,10,13,0,6,8,0,4,5,0,12,11,0,7,7,0,5,4,0
NC A&T,4,20,3,8,1,12,10,13,0,2,8,0,8,5,0,14,9,0,4,6,0,10,3,0
VA Tech,11,13,7,6,4,3,10,13,1,5,10,1,5,3,0,11,13,0,9,7,0,2,6,0
North Florida,13,12,7,5,6,7,10,13,1,3,7,1,7,6,0,19,5,0,9,2,0,10,3,0
USC Upstate,5,21,4,7,1,13,10,13,0,3,5,0,7,8,0,15,8,0,5,3,0,10,5,0
Stetson,7,18,4,7,3,8,10,13,0,3,9,0,7,4,0,12,11,0,7,5,0,5,6,0
Milwaukee,16,9,9,2,6,7,10,13,0,5,5,0,5,8,0,11,12,0,7,3,0,4,9,0
Utah State,21,3,11,2,7,1,10,13,0,6,7,0,4,6,0,10,12,1,7,6,0,3,6,1
Bryant U,15,10,6,3,8,6,10,13,0,3,5,0,7,8,0,12,9,2,2,5,1,10,4,1
William & Mary,14,11,10,0,3,10,10,13,0,5,4,0,5,9,0,13,10,0,4,5,0,9,5,0
Portland,8,17,6,7,2,7,10,13,0,4,9,0,6,4,0,13,10,0,8,5,0,5,5,0
Marquette,18,6,11,2,6,4,10,13,1,6,7,1,4,6,0,10,14,0,8,6,0,2,8,0
La Salle,12,12,9,3,2,6,10,13,0,7,5,0,3,8,0,12,11,0,6,6,0,6,5,0
Duquesne,10,14,7,6,1,5,10,13,0,7,8,0,3,5,0,9,14,0,6,9,0,3,5,0
Oregon,16,8,8,4,4,4,10,14,0,3,9,0,7,5,0,14,10,0,7,5,0,7,5,0
Evansville,9,16,6,8,3,8,10,14,0,6,7,0,4,7,0,9,15,0,6,7,0,3,8,0
New Orleans,4,20,0,7,3,12,10,14,0,2,6,0,8,8,0,13,11,0,5,3,0,8,8,0
G Tech,11,13,10,5,1,7,10,14,0,7,9,0,3,5,0,10,14,0,6,10,0,4,4,0
UNLV,12,12,9,4,3,6,10,14,0,5,9,0,5,5,0,11,13,0,4,10,0,7,3,0
Northeastern,13,12,5,4,6,7,10,14,1,5,5,0,5,9,1,17,7,1,7,2,1,10,5,0
Rider,9,15,3,6,6,9,10,14,0,3,6,0,7,8,0,10,14,0,4,5,0,6,9,0
Wolves,4,21,3,6,1,13,10,14,0,4,5,0,6,9,0,15,9,0,6,3,0,9,6,0
Louisiana,8,17,4,10,4,4,10,15,0,5,10,0,5,5,0,9,16,0,4,11,0,5,5,0
NC Central,10,14,7,3,2,10,9,10,1,3,3,1,6,7,0,14,6,0,5,2,0,9,4,0
Brown,10,10,5,4,5,6,9,10,0,4,4,0,5,6,0,8,11,0,4,4,0,4,7,0
St. Peter's,7,13,2,5,5,8,9,10,0,1,5,0,8,5,0,10,9,0,2,4,0,8,5,0
E. Carolina,13,11,8,6,3,4,9,11,2,5,7,1,4,4,1,13,9,0,7,6,0,6,3,0
FAU,13,10,6,3,4,5,9,11,2,5,5,1,4,6,1,12,10,0,6,5,0,6,5,0
Texas A&M-CC,15,10,11,2,4,8,9,11,1,5,4,0,4,7,1,13,8,0,3,6,0,10,2,0
N. Illinois,5,18,5,6,0,12,9,11,0,4,4,0,5,7,0,8,12,0,1,7,0,7,5,0
Bowling Green,9,14,7,5,1,8,9,11,1,6,5,1,3,6,0,11,10,0,4,8,0,7,2,0
Seattle,10,13,8,4,2,8,9,12,0,4,7,0,5,5,0,9,12,0,3,8,0,6,4,0
Lehigh,9,14,7,4,2,10,9,12,0,4,5,0,5,7,0,8,13,0,4,5,0,4,8,0
Ball State,11,12,5,5,4,6,9,12,0,2,8,0,7,4,0,12,9,0,5,5,0,7,4,0
Buffalo,7,16,5,6,2,10,9,12,0,3,6,0,6,6,0,11,10,0,3,6,0,8,4,0
Marist,16,5,9,2,7,3,9,12,0,4,7,0,5,5,0,10,11,0,4,7,0,6,4,0
Stonehill,12,13,8,3,3,9,9,12,2,4,5,1,5,7,1,11,11,1,5,5,0,6,6,1
E. Illinois,8,17,5,5,2,12,9,13,0,2,5,0,7,8,0,10,12,0,3,4,0,7,8,0
Baylor,15,8,11,1,2,6,9,13,0,8,4,0,1,9,0,13,9,0,8,4,0,5,5,0
Tulsa,9,15,7,7,1,6,9,13,0,4,8,0,5,5,0,9,13,0,5,7,0,4,6,0
E. Michigan,11,12,6,4,4,8,9,13,0,5,5,0,4,8,0,14,8,0,8,2,0,6,6,0
W. Michigan,7,16,4,7,3,9,9,13,0,2,8,0,7,5,0,10,11,1,4,6,0,6,5,1
Iowa,13,10,11,4,0,5,9,13,1,8,8,1,1,5,0,13,10,0,9,8,0,4,2,0
Rhode Island,15,8,11,2,1,6,9,13,0,7,7,0,2,6,0,14,8,0,9,5,0,5,3,0
Saint Joe's,14,9,9,4,2,4,9,13,1,6,9,1,3,4,0,12,11,0,8,8,0,4,3,0
Quinnipiac,14,10,9,2,5,8,9,13,1,5,4,1,4,9,0,12,11,0,6,4,0,6,7,0
Fairfield,9,15,6,5,2,9,9,13,1,6,5,0,3,8,1,11,11,1,3,7,1,8,4,0
Niagara,9,14,5,4,2,10,9,13,0,5,5,0,4,8,0,11,11,0,6,4,0,5,7,0
Murray State,12,13,5,5,5,6,9,14,1,3,8,0,6,6,1,14,10,0,4,7,0,10,3,0
OK State,12,11,9,2,2,6,9,14,0,5,8,0,4,6,0,12,11,0,7,6,0,5,5,0
GA Southern,13,12,8,2,4,9,9,14,1,4,6,0,5,8,1,12,12,0,6,4,0,6,8,0
Cincinnati,14,9,9,4,4,5,9,14,0,5,9,0,4,5,0,5,18,0,4,10,0,1,8,0
LBSU,7,18,3,8,4,7,9,14,0,3,7,0,6,7,0,15,8,0,6,4,0,9,4,0
Green Bay,2,23,1,9,1,14,9,14,1,2,7,0,7,7,1,10,12,2,3,6,0,7,6,2
JMU,15,10,11,2,2,7,9,14,0,6,5,0,3,9,0,8,15,0,3,8,0,5,7,0
Seton Hall,6,18,4,8,0,8,9,14,0,5,8,0,4,6,0,11,12,0,5,8,0,6,4,0
Montana St,10,15,8,2,2,13,9,15,0,5,4,0,4,11,0,11,13,0,3,6,0,8,7,0
High Point,21,5,13,1,5,3,9,15,0,6,8,0,3,7,0,14,10,0,6,8,0,8,2,0
Gonzaga,18,7,11,1,5,2,9,16,0,5,10,0,4,6,0,15,10,0,10,5,0,5,5,0
Columbia,12,8,9,4,3,4,8,10,0,6,5,0,2,5,0,9,8,1,5,6,0,4,2,1
W. Carolina,6,17,5,6,1,11,8,11,0,2,6,0,6,5,0,11,7,1,4,3,1,7,4,0
Harvard,7,13,3,4,4,9,8,11,0,3,3,0,5,8,0,8,11,0,4,2,0,4,9,0
Wichita State,13,10,8,4,3,5,8,12,2,4,7,2,4,5,0,8,14,0,3,10,0,5,4,0
Sac State,6,18,5,7,1,11,8,12,1,2,7,0,6,5,1,8,13,0,4,5,0,4,8,0
UCSB,16,8,10,4,6,4,8,12,2,5,7,0,3,5,2,10,12,0,7,5,0,3,7,0
N. Mexico St,12,11,7,4,5,5,8,12,0,2,7,0,6,5,0,7,13,0,3,6,0,4,7,0
